time,role,sample_count,axis_angle_rad,mean_axial_error_rad,median_axial_error_rad,p90_axial_error_rad,mean_axial_error_deg,median_axial_error_deg,p90_axial_error_deg,mean_signed_axis_velocity,mean_abs_axis_velocity,mean_signed_perpendicular_velocity,mean_abs_perpendicular_velocity,sample_too_small,interpretation_warning
3836,forager,14,0.7853981633974483,0.9273949996991842,0.9193323002583821,1.4020026355585684,53.135819424299505,52.67386077485906,80.32883388372404,-0.11434383108209792,0.3323516787890547,-0.21372090402013247,0.44629972402247514,False,
3836,transporter,16,0.7853981633974483,0.6316076801808601,0.6386241474676024,1.3860695557835778,36.188454382411976,36.59046834503392,79.41593565797183,0.07492292642287049,0.43621804728459007,0.06761563269141657,0.3112760391218423,False,
3836,follower,70,0.7853981633974483,0.8204626605461421,0.7853981633974483,1.4311673720608198,47.009047697368665,45.0,81.99985019591418,0.01488084826388322,0.3760295342600478,0.03423113989148959,0.4056807456703509,False,
3837,forager,14,0.7853981633974483,0.9352711958786815,1.0689703061431608,1.421846950952491,53.587092224001765,61.24748696681065,81.4658294031223,-0.04848155142070879,0.3117431023155321,-0.26792400280847456,0.43339013262898246,False,
3837,transporter,16,0.7853981633974483,0.6166971776370496,0.7038897909597468,1.1395006789317257,35.33414551623255,40.32991426433926,65.28857965507977,0.06186151740019023,0.4492794563072704,0.06417880595939418,0.31097817357488994,False,
3837,follower,70,0.7853981633974483,0.8302705088977859,0.7853981633974483,1.4353437300273664,47.57099601402219,45.0,82.23913788113315,-0.012570327317596492,0.3750489601570998,0.02759691936291847,0.4115751871008693,False,
3838,forager,14,0.7853981633974483,0.7683628024814559,0.7671398756062612,1.2957411103400995,44.02394571703152,43.95387716842974,74.24049696408282,-0.1360157034508705,0.393687298627404,-0.2178932472053183,0.3813762649669582,False,
3838,transporter,16,0.7853981633974483,0.588493006345948,0.7038897909597446,1.1435824016386062,33.718165536588394,40.32991426433913,65.52244513932673,0.06383884273431978,0.45125678164140004,0.0476928556242039,0.293960643336823,False,
3838,follower,70,0.7853981633974483,0.7757168223843737,0.7853981633974483,1.478122351797049,44.44530001992391,45.0,84.69017236192242,-0.001469995154942942,0.39033121077783495,0.015673758819675136,0.3830224856181661,False,
3839,forager,14,0.7853981633974483,0.8487704537179407,0.9967447180312281,1.4508542788248044,48.630964773441974,57.10926559514665,83.12782686515806,-0.08193594463444327,0.35406880126108314,-0.19959592426577943,0.4042720570549444,False,
